Date,Open,High,Low,CLOSE ,Volume
2/15/2023,32.77,34.32,32.77,34.29,120905
2/14/2023,32.38,32.98,32.31,32.73,77979
2/13/2023,31.66,32.53,31.55,32.5,82823
2/10/2023,30.76,31.71,30.62,31.62,74754
2/9/2023,31.68,31.81,30.65,30.68,73831
2/8/2023,32.13,32.13,31.27,31.4,67818
2/7/2023,32.39,32.39,31.71,32.2,69844
2/6/2023,32.67,32.98,32.17,32.49,124025
2/3/2023,32.34,33.11,32.1,32.66,106431
2/2/2023,32.78,33.09,32.37,32.7,63643
2/1/2023,32.49,32.87,31.85,32.41,76341
1/31/2023,31.22,32.46,31.22,32.42,89283
1/30/2023,31.14,31.35,30.68,31.1,63426
1/27/2023,31.41,31.67,31.19,31.29,39754
1/26/2023,31,31.53,30.7,31.49,48032
1/25/2023,30.7,30.85,30.34,30.85,47721
1/24/2023,31.73,31.73,30.71,30.85,98668
1/23/2023,30.72,31.23,30.37,30.65,68057
1/20/2023,30.61,30.77,30.11,30.57,63509
1/19/2023,29.76,30.48,29.51,30.37,52384
1/18/2023,30.76,30.9,30.06,30.11,53969
1/17/2023,30.33,31.24,30.33,30.56,77564
1/13/2023,30.08,30.44,29.8,30.27,74651
1/12/2023,30.72,30.72,30.06,30.21,68553
1/11/2023,30.33,30.75,30.06,30.36,58068
1/10/2023,29,30.29,29,30.23,62807
1/9/2023,30.09,30.32,29.25,29.27,82537
1/6/2023,29.26,30.3,29.08,30.03,67423
1/5/2023,29.07,29.15,28.35,28.94,139026
1/4/2023,28.72,29.33,28.56,29.13,82728
1/3/2023,27.6,28.62,27.6,28.56,161646
12/30/2022,27.54,27.89,27.35,27.54,85924
12/29/2022,27.18,27.7,27.01,27.63,75660
12/28/2022,27.19,27.72,27.1,27.2,135788
12/27/2022,27.51,27.51,26.85,27.14,52903
12/23/2022,27,27.71,27,27.47,87747
12/22/2022,26.95,27.3,26.43,27.3,89399
12/21/2022,26.95,27.68,26.95,27.17,134114
12/20/2022,26.49,27.29,26.15,26.96,176691
12/19/2022,27.51,27.51,26.48,26.65,157927
12/16/2022,25.78,27.84,25.76,27.61,340750
12/15/2022,25.64,26.05,25.05,25.82,153588
12/14/2022,26.29,26.9,25.63,25.87,184808
12/13/2022,25.11,26.79,25.04,26.35,275359
12/12/2022,24.48,24.48,24.03,24.21,77859
12/9/2022,24.4,25.24,24.18,24.52,67913
12/8/2022,25.04,25.27,24.17,24.44,88412
12/7/2022,24.46,25.19,24.44,25.04,137643
12/6/2022,24.51,24.56,24.15,24.52,102122
12/5/2022,25.01,25.14,24.28,24.52,120310
12/2/2022,24.83,25.74,24.26,25.01,143878
12/1/2022,25.14,25.2,23.75,24.79,169007
11/30/2022,23.7,25.2,22.86,25.15,145120
11/29/2022,24.02,24.17,23.6,23.69,73991
11/28/2022,24.2,24.21,23.65,23.94,84525
11/25/2022,24.02,24.64,23.91,24.21,51102
11/23/2022,24.03,24.36,23.82,24.14,48886
11/22/2022,23.98,24.31,23.66,23.95,54895
11/21/2022,24.15,24.21,23.41,23.88,85460
11/18/2022,25.21,25.21,23.91,24.07,79366
11/17/2022,24.54,25.15,24.5,24.79,53911
11/16/2022,25.25,25.25,24.54,24.74,109624
11/15/2022,25.27,25.59,24.88,25.29,58841
11/14/2022,25.35,25.65,24.78,24.83,63657
11/11/2022,26.01,26.01,25.07,25.4,113860
11/10/2022,25.51,26.31,25.3,25.96,107190
11/9/2022,25.79,25.82,24.4,24.43,124713
11/8/2022,24.86,26.6,24.86,26.14,218908
11/7/2022,24.01,24.86,23.61,24.81,136856
11/4/2022,23.67,24.05,22.76,24,182634
11/3/2022,24.06,24.22,23.31,23.48,153435
11/2/2022,24.06,25.12,23.77,24.13,295958
11/1/2022,24.72,24.72,23.4,23.88,169702
10/31/2022,24.56,24.77,23.59,24.41,177193
10/28/2022,23.58,24.52,22.71,24.3,282544
10/27/2022,28.3,28.37,23.35,23.4,514221
10/26/2022,31.66,32.67,31.56,32.07,143249
10/25/2022,30.55,31.74,30.45,31.47,61938
10/24/2022,31,31.13,30.4,30.76,89276
10/21/2022,30.74,31.03,29.97,30.69,102991
10/20/2022,31.57,31.83,30.68,30.76,96969
10/19/2022,32.17,32.66,31.25,31.47,86514
10/18/2022,32.17,32.92,31.98,32.5,144585
10/17/2022,31.46,32,31.46,31.69,110720
10/14/2022,31.7,31.82,30.88,30.94,108614
10/13/2022,31.22,32.07,31,31.49,161199
10/12/2022,32.42,32.72,31.74,31.79,112953
10/11/2022,32.87,33.23,31.92,32.39,100911
10/10/2022,32.06,33.2,32.06,32.78,63788
10/7/2022,33,33,31.65,32.23,95919
10/6/2022,33.48,33.79,33.15,33.31,92490
10/5/2022,33.85,34.32,33.48,33.59,104551
10/4/2022,33.74,34.63,33.74,34.16,242913
10/3/2022,32.62,33.91,32,33.57,107336
9/30/2022,32.08,33.24,32.04,32.16,124326
9/29/2022,32.41,32.41,31.36,32.12,89576
9/28/2022,31.87,33.15,31.68,32.84,122578
9/27/2022,31.42,32.27,31.01,31.58,154044
9/26/2022,30.77,31.76,30.77,31.21,133773
9/23/2022,31.29,31.29,30.45,30.99,112459
9/22/2022,32.57,32.57,31.38,31.77,118509
9/21/2022,33.08,33.99,32.53,32.65,93352
9/20/2022,33.42,33.79,32.5,33.07,116816
9/19/2022,33.78,34.32,33.4,33.78,65039
9/16/2022,34.12,34.16,32.79,34.09,211898
9/15/2022,34.33,34.94,34.19,34.41,81777
9/14/2022,35.01,35.01,34.09,34.56,98565
9/13/2022,35.68,35.95,34.8,35.02,80315
9/12/2022,35.64,36.59,35.32,36.28,103192
9/9/2022,35.31,35.63,34.78,35.45,54560
9/8/2022,35.4,35.4,34.64,34.9,63537
9/7/2022,35.35,35.67,34.81,35.61,63658
9/6/2022,35.95,35.95,34.84,35.27,74491
9/2/2022,36.21,36.32,35.41,35.68,70692
9/1/2022,35.2,36.18,35.07,35.66,92505
8/31/2022,36.65,36.87,35.04,35.41,204807
8/30/2022,37.13,37.13,36.38,36.43,113552
8/29/2022,37.1,37.3,36.66,37.01,64626
8/26/2022,38.03,38.36,37.43,37.52,87895
8/25/2022,38.91,38.91,38.11,38.38,46951
8/24/2022,38.51,39.1,38.13,38.56,70144
8/23/2022,38.22,39.15,38.22,38.77,71610
8/22/2022,39.64,39.66,37.93,38.27,105002
8/19/2022,40.15,40.68,39.69,40.18,118481
8/18/2022,40.37,40.84,40.05,40.41,69637
8/17/2022,40.4,40.91,40.03,40.63,127201
8/16/2022,40.58,41.39,40.41,40.63,124722
8/15/2022,40.5,41.51,40.2,41.03,175105
8/12/2022,38.4,40.06,38.31,39.85,86967
8/11/2022,38.72,39.13,37.86,38.04,85721
8/10/2022,37.01,38.93,36.96,38.52,108353
8/9/2022,36.2,36.41,35.64,36.38,72583
8/8/2022,37.13,37.65,35.74,35.82,164875
8/5/2022,34.54,36.81,34.32,36.68,184548
8/4/2022,36.16,36.37,34.22,34.24,143977
8/3/2022,38.65,38.7,35.81,36,189742
8/2/2022,37.84,40.38,37.5,38.66,233698
8/1/2022,35.94,37.96,35.54,37.7,224562
7/29/2022,36.78,36.84,34.7,36.28,250138
7/28/2022,39.01,39.69,35.24,36.84,358544
7/27/2022,44.06,44.52,43.22,44.05,112927
7/26/2022,42.91,43.67,42.81,43.67,94107
7/25/2022,42.53,43.17,42.15,42.91,205742
7/22/2022,42.58,42.89,41.99,42.54,50176
7/21/2022,41.17,42.52,40.89,42.52,60550
7/20/2022,40.98,41.49,40.67,41.25,64857
7/19/2022,40.13,41.21,40.13,41.11,73122
7/18/2022,40.85,41.01,39.44,39.6,47827
7/15/2022,39.98,40.87,39.68,40.39,65794
7/14/2022,38.55,39.69,38.45,39.32,60351
7/13/2022,39,39.34,38.68,39.08,70223
7/12/2022,39.25,39.76,39.09,39.17,66147
7/11/2022,39.79,40.1,39.25,39.37,47080
7/8/2022,39.9,40.18,39.58,39.98,49999
7/7/2022,39.74,40.35,39.74,39.94,56287
7/6/2022,40.08,40.22,39.2,39.54,72082
7/5/2022,39.76,40.01,38.95,39.93,76570
7/1/2022,39.42,40.31,39.34,40.23,72500
6/30/2022,38.52,39.65,37.83,39.65,155016
6/29/2022,39.43,39.43,38.72,39.01,117069
6/28/2022,40.07,40.63,39.32,39.34,146112
6/27/2022,39.61,39.98,38.63,39.81,127241
6/24/2022,37.64,39.4,37.64,39.4,602828
6/23/2022,36.91,37.57,36.57,37.56,136892
6/22/2022,37.01,37.62,36.5,36.88,163082
6/21/2022,36.35,37.76,36.14,37.74,120387
6/17/2022,36.1,36.35,35.46,35.64,233644
6/16/2022,37.84,37.84,35.69,35.98,133384
6/15/2022,38,38.82,37.92,38.38,186444
6/14/2022,37.3,38,37.15,37.91,123863
6/13/2022,38.87,38.87,37.09,37.34,180458
6/10/2022,40.26,40.26,39.11,39.57,155555
6/9/2022,40.66,41.33,40.11,40.92,139318
6/8/2022,41.71,41.88,40.93,41.1,90929
6/7/2022,40.99,41.94,40.99,41.89,70060
6/6/2022,40.93,41.56,40.22,41.37,87999
6/3/2022,41.31,41.33,40.44,40.64,71402
6/2/2022,40.94,41.75,40.9,41.6,76562
6/1/2022,40.7,41.22,40,40.87,84538
5/31/2022,40.22,40.77,39.53,40.37,216078
5/27/2022,40.11,40.76,40.05,40.42,93773
5/26/2022,39.57,40.57,39.42,40.05,75193
5/25/2022,38.42,39.74,38.42,39.16,114906
5/24/2022,39.07,39.12,38,38.8,89771
5/23/2022,38.74,39.33,38.12,38.71,102963
5/20/2022,38.71,38.84,37.33,38.33,97774
5/19/2022,38.36,39.16,37.78,38.5,117927
5/18/2022,40.14,40.23,38.51,38.68,91291
5/17/2022,39.97,40.83,39.84,40.67,93392
5/16/2022,39.38,40.06,39.18,39.52,207428
5/13/2022,39.9,40.55,39.49,39.52,74682
5/12/2022,39.11,40,38.61,39.49,124365
5/11/2022,39.59,40.7,38.9,38.99,212540
5/10/2022,40.23,40.97,39.15,39.29,263363
5/9/2022,40.67,40.8,39.5,40.07,171351
5/6/2022,41.33,41.53,40.22,41.3,112366
5/5/2022,42.81,42.95,40.88,41.49,85554
5/4/2022,42.14,43.57,41.58,43.34,139876
5/3/2022,41.98,42.04,41.07,41.57,139233
5/2/2022,43.05,44.05,41.32,42.15,140140
4/29/2022,44.32,44.6,42.37,42.89,193077
4/28/2022,49.63,49.63,44.36,44.87,283798
4/27/2022,48.53,49.11,48.32,48.62,114406
4/26/2022,49.44,50.42,48.31,48.48,80430
4/25/2022,49.05,49.79,48.35,49.73,120405
4/22/2022,52.02,52.07,49.41,49.59,262606
4/21/2022,53.28,53.68,52.02,52.27,57599
4/20/2022,53.44,53.95,52.71,52.99,82334
4/19/2022,52.05,53.63,52.05,53.14,68742
4/18/2022,51.8,52.65,51.62,52.21,53127
4/14/2022,52.29,52.62,51.78,51.88,74287
4/13/2022,51.49,52.21,51.02,52,76689
4/12/2022,51.31,52.07,51.28,51.53,61697
4/11/2022,51.46,51.63,50.83,50.88,49866
4/8/2022,51.5,52.47,51.39,51.62,92772
4/7/2022,51.09,52,50.85,51.61,68660
4/6/2022,52.5,52.79,50.92,51.11,103264
4/5/2022,52.25,53.17,52,52.62,111949
4/4/2022,52.4,52.51,50.84,52.33,108535
4/1/2022,53.28,53.28,51.15,52.49,134184
3/31/2022,53.08,54.1,52.56,53.33,209305
3/30/2022,52.7,53.29,52.38,52.85,283606
3/29/2022,54.73,54.84,52.77,52.92,123326
3/28/2022,55.09,55.2,53.71,54.22,74596
3/25/2022,54.55,54.94,53.76,54.86,83666
3/24/2022,53.37,54.65,52.95,54.59,82234
3/23/2022,55.05,55.05,53.14,53.35,128464
3/22/2022,55.39,55.9,55.02,55.17,74300
3/21/2022,56.16,56.16,55.03,55.25,97380
3/18/2022,54.19,56.28,54.02,56.06,179189
3/17/2022,54.49,54.9,54.05,54.13,100218
3/16/2022,53.99,54.75,53.53,54.65,123044
3/15/2022,52.89,53.91,52.53,53.36,137360
3/14/2022,51.31,52.72,51.16,52.61,175280
3/11/2022,51.85,52.89,51.05,51.16,104707
3/10/2022,49.99,51.84,49.99,51.64,107160
3/9/2022,51.29,52.04,50.2,50.49,191276
3/8/2022,50.56,51.91,50.51,50.68,154105
3/7/2022,51.12,51.89,50.03,50.66,141536
3/4/2022,49.96,51.51,49.59,51.21,117388
3/3/2022,50.84,51.38,50,50.57,89894
3/2/2022,50.07,51.7,50.07,50.81,117669
3/1/2022,49.47,50.49,48.89,49.89,166212
2/28/2022,49.8,50.52,48.95,49.21,122839
2/25/2022,49.31,50.37,47.53,50.34,136936
2/24/2022,48.35,49.71,47.07,48.98,189781
2/23/2022,50.1,50.32,49.05,49.48,125329
2/22/2022,49.08,50.54,48.97,49.49,107175
2/18/2022,49.08,49.95,48.67,49.5,130474
2/17/2022,50.84,50.84,49.1,49.32,110669
2/16/2022,51.59,51.85,50.58,51.09,104908
2/15/2022,51.7,52.1,50.94,51.61,113144
